ssid,address,frequency,channel
,16:11:32:B6:87:7C,2.447 GHz,8
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
NTU,00:0B:86:96:69:02,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
dcs405A,B0:6E:BF:3E:C6:B8,2.447 GHz,8
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
eduroam,00:0B:86:96:59:A0,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
ntu_peap,00:0B:86:96:62:61,2.412 GHz,1
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
ntuiot,00:11:32:B6:87:7C,2.447 GHz,8
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MD520,0C:80:63:03:D2:D6,2.437 GHz,6
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
,16:11:32:9D:30:3A,2.432 GHz,5
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntu_peap,00:0B:86:96:62:61,2.412 GHz,1
MD625_2G,04:D9:F5:12:66:50,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD_323,00:1D:AA:0F:AC:F8,2.432 GHz,5
ntuiot,00:11:32:B6:87:7C,2.447 GHz,8
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
NCSLab,24:4B:FE:E4:03:50,2.452 GHz,9
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
eduroam,6C:F3:7F:3A:B7:B1,2.462 GHz,11
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
NTU,00:0B:86:96:62:62,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
,16:11:32:B6:86:00,2.442 GHz,7
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
waterpoah,D4:EE:07:14:54:72,2.417 GHz,2
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD501,04:8D:38:04:4E:86,2.412 GHz,1
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
eduroam,00:0B:86:96:62:60,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
NTU,00:0B:86:96:61:C2,2.412 GHz,1
ntu_peap,6C:F3:7F:3A:C2:91,2.462 GHz,11
ntuiot,00:11:32:B6:80:33,2.427 GHz,4
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
,16:11:32:B6:87:7C,2.447 GHz,8
MD_323,00:1D:AA:0F:AC:F8,2.432 GHz,5
ntuiot,00:11:32:B6:79:9E,2.462 GHz,11
eduroam,00:0B:86:96:9E:00,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
ntu_peap,00:0B:86:96:61:C1,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
AUO_431,C0:C9:E3:4B:6C:9F,2.457 GHz,10
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
MD501,04:8D:38:04:4E:86,2.412 GHz,1
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
NTU,6C:F3:7F:31:F6:E2,2.412 GHz,1
MD625_2G,04:D9:F5:12:66:50,2.437 GHz,6
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
TP-Link_E4F5,40:3F:8C:E3:E4:F5,2.457 GHz,10
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
,16:11:32:9D:30:3A,2.432 GHz,5
MD501,04:8D:38:04:4E:86,2.412 GHz,1
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
NCSLab,24:4B:FE:E4:03:50,2.452 GHz,9
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
NTU,6C:F3:7F:3A:C2:90,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
AUO_431,C0:C9:E3:4B:6C:9F,2.457 GHz,10
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.457 GHz,10
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
AUO_431_Meeting,90:9A:4A:09:41:63,2.437 GHz,6
test2_2.4G,00:11:32:B6:7C:1E,2.462 GHz,11
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eduroam,00:0B:86:96:60:80,2.412 GHz,1
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
waterpoah,D4:EE:07:14:54:72,2.417 GHz,2
MD_323,00:1D:AA:0F:AC:F8,2.432 GHz,5
ntuiot,00:11:32:B6:7A:7F,2.427 GHz,4
,16:11:32:B6:85:47,2.432 GHz,5
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntuiot_402,00:11:32:AD:8C:82,2.447 GHz,8
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD704,0C:9D:92:54:AB:50,2.437 GHz,6
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
NTU,00:0B:86:96:62:62,2.412 GHz,1
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
MD520,0C:80:63:03:D2:D6,2.437 GHz,6
MD501,04:8D:38:04:4E:86,2.412 GHz,1
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
eduroam,6C:F3:7F:3A:C2:92,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
,16:11:32:B6:80:33,2.427 GHz,4
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:9A:4A:09:41:65,2.437 GHz,6
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
MD704,0C:9D:92:54:AB:50,2.437 GHz,6
eduroam,00:0B:86:96:63:A0,2.412 GHz,1
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
ntuiot,00:11:32:B6:80:33,2.427 GHz,4
NTU,6C:F3:7F:3A:C1:52,2.412 GHz,1
ntuppm402,04:D4:C4:40:ED:48,2.417 GHz,2
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD501,04:8D:38:04:4E:86,2.412 GHz,1
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
,60:E3:27:EB:D7:6C,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
ntu_peap,00:0B:86:96:61:C1,2.412 GHz,1
ntuiot,00:11:32:B6:79:9E,2.462 GHz,11
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD501,04:8D:38:04:4E:86,2.412 GHz,1
NTU,00:0B:86:96:9C:62,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
LCH_rtt_2.4G,00:11:32:B6:7A:25,2.422 GHz,3
MD704,0C:9D:92:54:AB:50,2.437 GHz,6
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.457 GHz,10
eduroam,00:0B:86:96:75:40,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
,16:11:32:B6:86:01,5.2 GHz,40
dcs405A,B0:6E:BF:3E:C6:B8,2.427 GHz,4
dcs405-5G,78:D2:94:C5:33:64,5.22 GHz,44
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,A2:9A:4A:09:41:64,5.785 GHz,157
LCH_rtt_5G,00:11:32:B6:7A:26,5.22 GHz,44
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
test2_asus_5G,0C:9D:92:02:8B:4C,5.745 GHz,149
AUO_431_Meeting_5G,90:9A:4A:09:41:62,5.785 GHz,157
Ray NTU 5G,F6:28:53:78:81:EE,5.18 GHz,36
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
ntuiot,00:11:32:E3:3A:5C,5.18 GHz,36
LCH_rtt_2.4G,00:11:32:B6:7A:25,2.422 GHz,3
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
MD703_5G,84:D8:1B:35:ED:BA,5.785 GHz,157
dlink-2D18,40:9B:CD:A0:2D:18,2.457 GHz,10
MD501_f,04:8D:38:04:4E:89,5.805 GHz,161
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
NTU,00:0B:86:96:62:6A,5.3 GHz,60
Happystar,F4:28:53:7D:81:EE,5.18 GHz,36
eduroam,00:1A:1E:F3:67:A0,2.462 GHz,11
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
MD501,04:8D:38:04:4E:86,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404_5G,8C:3B:AD:22:02:68,5.765 GHz,153
waterpoah,D4:EE:07:14:54:72,2.417 GHz,2
esys305_5G,D4:5D:64:E0:9F:8C,5.805 GHz,161
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
,16:11:32:9D:30:3A,2.432 GHz,5
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
MD704,0C:9D:92:54:AB:50,2.437 GHz,6
ntuiot,00:11:32:B6:85:C9,2.417 GHz,2
eduroam,00:0B:86:96:60:80,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.447 GHz,8
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:9A:4A:09:41:65,2.437 GHz,6
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntu_peap,00:0B:86:96:A0:41,2.412 GHz,1
NTU,00:0B:86:96:A0:42,2.412 GHz,1
,16:11:32:B6:86:00,2.442 GHz,7
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
NTU,00:0B:86:96:62:62,2.412 GHz,1
eduroam,00:0B:86:96:62:60,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
ntuiot,00:11:32:B6:85:C9,2.417 GHz,2
dcs405A,B0:6E:BF:3E:C6:B8,2.427 GHz,4
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
ntu_peap,00:0B:86:96:69:01,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD501,04:8D:38:04:4E:86,2.412 GHz,1
,16:11:32:9D:2B:31,5.22 GHz,44
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
MD703_5G,84:D8:1B:35:ED:BA,5.785 GHz,157
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD501_f,04:8D:38:04:4E:89,5.805 GHz,161
test2_asus_5G,0C:9D:92:02:8B:4C,5.745 GHz,149
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
ntu_peap,00:0B:86:96:62:69,5.3 GHz,60
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
esys305_5G,D4:5D:64:E0:9F:8C,5.805 GHz,161
NTU,00:0B:86:96:62:6A,5.3 GHz,60
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.457 GHz,10
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD404_5G,8C:3B:AD:22:02:68,5.765 GHz,153
MD501,04:8D:38:04:4E:86,2.412 GHz,1
ASUS,1C:87:2C:CE:8F:B0,2.457 GHz,10
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
rpi_ap,B8:27:EB:A2:E0:72,2.442 GHz,7
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
eduroam,00:0B:86:96:62:68,5.3 GHz,60
,16:11:32:B6:7A:7F,2.427 GHz,4
dcs405A,B0:6E:BF:3E:C6:B8,2.427 GHz,4
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
waterpoah,D4:EE:07:14:54:72,2.417 GHz,2
MD501,04:8D:38:04:4E:86,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
ntu_peap,6C:F3:7F:3A:B7:B0,2.462 GHz,11
AUO_431,C0:C9:E3:4B:6C:9F,2.457 GHz,10
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
AUO_431_Meeting,90:9A:4A:09:41:63,2.437 GHz,6
NTU,00:0B:86:96:59:A2,2.412 GHz,1
