ssid,address,frequency,channel
eduroam,6C:F3:7F:3A:B7:B1,2.462 GHz,11
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
ntuiot,00:11:32:B6:87:7C,2.447 GHz,8
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
,16:11:32:B6:80:33,2.427 GHz,4
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
NTU,00:0B:86:96:60:82,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:9A:4A:09:41:65,2.437 GHz,6
VR Lab ,04:D4:C4:B5:E5:28,2.437 GHz,6
88886666,0A:28:19:84:B7:DF,2.462 GHz,11
eduroam,00:0B:86:96:9C:60,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
ntu_peap,00:0B:86:96:60:81,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
LCH_rtt_2.4G,00:11:32:B6:7A:25,2.422 GHz,3
AUO_431_Meeting,90:9A:4A:09:41:63,2.437 GHz,6
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
rpi_ap,B8:27:EB:A2:E0:72,2.442 GHz,7
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
,16:11:32:B6:86:01,5.2 GHz,40
MD404_5G,8C:3B:AD:22:02:68,5.765 GHz,153
LCH_rtt_5G,00:11:32:B6:7A:26,5.22 GHz,44
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
eduroam,00:0B:86:96:62:60,2.412 GHz,1
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
ntuiot,00:11:32:B6:7A:7F,2.427 GHz,4
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
esys305_5G,D4:5D:64:E0:9F:8C,5.805 GHz,161
dcs405-5G,78:D2:94:C5:33:64,5.22 GHz,44
MD501,04:8D:38:04:4E:86,2.412 GHz,1
MD501_f,04:8D:38:04:4E:89,5.805 GHz,161
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
NTU,00:0B:86:96:70:C2,2.462 GHz,11
test2_asus_5G,0C:9D:92:02:8B:4C,5.745 GHz,149
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD703_5G,84:D8:1B:35:ED:BA,5.785 GHz,157
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
,16:11:32:9D:2B:30,2.432 GHz,5
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
LCH_rtt_2.4G,00:11:32:B6:7A:25,2.422 GHz,3
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
ntuiot,00:11:32:E3:3A:5B,2.447 GHz,8
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.427 GHz,4
eduroam,00:0B:86:96:61:C0,2.412 GHz,1
NTU,00:0B:86:96:62:62,2.412 GHz,1
MD501,04:8D:38:04:4E:86,2.412 GHz,1
ntu_peap,00:0B:86:96:61:C1,2.412 GHz,1
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
Mi 10 Lite 5G,DA:96:F2:A6:23:93,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
ntuiot_402,00:11:32:9D:30:3A,2.432 GHz,5
,16:11:32:B6:7B:24,2.447 GHz,8
eduroam,6C:F3:7F:31:F6:E1,2.412 GHz,1
88886666,0A:28:19:84:B7:DF,2.462 GHz,11
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
cy168,10:6F:3F:39:48:FE,2.462 GHz,11
MD501,04:8D:38:04:4E:86,2.412 GHz,1
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
nthuang,74:DA:38:10:10:60,2.457 GHz,10
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
AUO_431_Meeting,90:9A:4A:09:41:63,2.457 GHz,10
MiVue_39:99,28:ED:E0:C8:39:99,2.412 GHz,1
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
ntu_peap,00:0B:86:96:59:A1,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.427 GHz,4
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
NTU,00:0B:86:96:59:A2,2.412 GHz,1
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
rpi_ap,B8:27:EB:A2:E0:72,2.442 GHz,7
AUO_431,C0:C9:E3:4B:6C:9F,2.427 GHz,4
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
,16:11:32:AD:8C:83,5.22 GHz,44
LCH_rtt_5G,00:11:32:B6:7A:26,5.22 GHz,44
MD501_f,04:8D:38:04:4E:89,5.805 GHz,161
MD703_5G,84:D8:1B:35:ED:BA,5.785 GHz,157
test2_asus_5G,0C:9D:92:02:8B:4C,5.745 GHz,149
MD404_5G,8C:3B:AD:22:02:68,5.765 GHz,153
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
rpi_ap,B8:27:EB:A2:E0:72,2.442 GHz,7
MD501,04:8D:38:04:4E:86,2.412 GHz,1
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
NTU,00:0B:86:96:62:62,2.412 GHz,1
esys305_5G,D4:5D:64:E0:9F:8C,5.805 GHz,161
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:9A:4A:09:41:65,2.457 GHz,10
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
eduroam,00:0B:86:96:59:A0,2.412 GHz,1
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntuiot,0C:9D:92:02:8B:40,2.422 GHz,3
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
AUO_431_Meeting,90:9A:4A:09:41:63,2.457 GHz,10
MD501-TimLin,DC:FB:02:61:9E:36,5.805 GHz,161
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
,16:11:32:9D:2B:30,2.432 GHz,5
CHT Wi-Fi(HiNet),10:62:EB:D5:AC:C1,2.417 GHz,2
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
.1.Free Wi-Fi,10:62:EB:D5:AC:C3,2.417 GHz,2
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
ntu_peap,00:0B:86:96:69:01,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
NTU,00:0B:86:96:69:02,2.412 GHz,1
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
MD625_2G,04:D9:F5:12:66:50,2.437 GHz,6
ntuiot,00:11:32:B6:80:33,2.427 GHz,4
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:9A:4A:09:41:65,2.457 GHz,10
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
eduroam,00:0B:86:96:69:00,2.412 GHz,1
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
MD501,04:8D:38:04:4E:86,2.412 GHz,1
,16:11:32:9D:30:3A,2.432 GHz,5
MD501-TimLin,DC:FB:02:61:9E:31,2.412 GHz,1
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
NTU,00:0B:86:96:61:C2,2.412 GHz,1
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD501,04:8D:38:04:4E:86,2.412 GHz,1
BUFFALO-22AE0C,4C:E6:76:22:AE:0C,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
Lab403,2C:FD:A1:0B:86:30,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
ntuiot,00:11:32:B6:79:9E,2.462 GHz,11
eduroam,00:0B:86:96:9C:60,2.462 GHz,11
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
VR Lab ,04:D4:C4:B5:E5:28,2.427 GHz,4
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.427 GHz,4
ntu_peap,00:0B:86:96:9C:61,2.462 GHz,11
Android-ken,DC:74:A8:FF:5C:8A,2.462 GHz,11
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
,16:11:32:AD:8C:83,5.22 GHz,44
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
AUO_431,C0:C9:E3:4B:6C:9F,2.427 GHz,4
DCS-LAB,74:DA:DA:E2:2A:1A,5.2 GHz,40
NTU,6C:F3:7F:31:FA:22,2.462 GHz,11
esys305_5G,D4:5D:64:E0:9F:8C,5.805 GHz,161
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD501-TimLin,DC:FB:02:61:9E:31,2.412 GHz,1
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
LCH_rtt_5G,00:11:32:B6:7A:26,5.22 GHz,44
MD703_5G,84:D8:1B:35:ED:BA,5.785 GHz,157
MD501,04:8D:38:04:4E:86,2.412 GHz,1
dcs405-5G,78:D2:94:C5:33:64,5.22 GHz,44
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD702_5G,38:D5:47:1E:82:D4,5.745 GHz,149
AUO_431_Meeting,90:9A:4A:09:41:63,2.457 GHz,10
ntu_peap,6C:F3:7F:31:FA:20,2.462 GHz,11
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
Ray NTU 5G,F6:28:53:78:81:EE,5.18 GHz,36
ntuiot,00:11:32:B6:80:33,2.427 GHz,4
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
wmnlab256_5G,D4:5D:64:E1:66:94,5.785 GHz,157
MD404_5G,8C:3B:AD:22:02:68,5.765 GHz,153
NETGEAR14-5G,44:A5:6E:41:9B:BC,5.765 GHz,153
eduroam,6C:F3:7F:31:FA:21,2.462 GHz,11
MD501_f,04:8D:38:04:4E:89,5.745 GHz,149
,16:11:32:B6:86:00,2.442 GHz,7
ntuiot,00:11:32:E3:3A:5B,2.447 GHz,8
dcs405A,B0:6E:BF:3E:C6:B8,2.442 GHz,7
MD501-TimLin,DC:FB:02:61:9E:31,2.412 GHz,1
HP-Print-B0-LaserJet Pro MFP,54:13:79:71:75:B0,2.452 GHz,9
ntu_peap,00:0B:86:96:A0:41,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
nthuang,74:DA:38:10:10:60,2.457 GHz,10
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
AUO_431,C0:C9:E3:4B:6C:9F,2.437 GHz,6
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
Fmc2,62:70:71:4D:42:59,2.462 GHz,11
LCH_rtt_2.4G,00:11:32:B6:7A:25,2.422 GHz,3
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
MD501,04:8D:38:04:4E:86,2.412 GHz,1
rpi_ap,B8:27:EB:A2:E0:72,2.437 GHz,6
NTU,00:0B:86:96:6F:02,2.462 GHz,11
eduroam,00:0B:86:96:60:80,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
,16:11:32:9D:2B:30,2.432 GHz,5
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
VR Lab ,04:D4:C4:B5:E5:28,2.412 GHz,1
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
MD625_2G,04:D9:F5:12:66:50,2.437 GHz,6
ntuiot,0C:9D:92:02:8B:40,2.427 GHz,4
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
rtt_LCH_a_2.4G,00:11:32:B6:85:47,2.432 GHz,5
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
NTU,00:0B:86:96:61:C2,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
ntu_peap,00:0B:86:96:62:61,2.412 GHz,1
AUO_431_Meeting,90:9A:4A:09:41:63,2.427 GHz,4
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
eduroam,00:0B:86:96:60:80,2.412 GHz,1
dcs405A,B0:6E:BF:3E:C6:B8,2.412 GHz,1
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
ntuiot_402,00:11:32:AD:8C:82,2.447 GHz,8
MD725,74:DA:38:D4:E9:80,2.432 GHz,5
MD501,04:8D:38:04:4E:86,2.412 GHz,1
,16:11:32:9D:30:3B,5.2 GHz,40
test2_asus_5G,0C:9D:92:02:8B:4C,5.745 GHz,149
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,A2:C9:E3:4B:6C:90,5.785 GHz,157
dcs405-5G,78:D2:94:C5:33:64,5.22 GHz,44
NTU,6C:F3:7F:3A:B7:B2,2.462 GHz,11
NETGEAR14-5G,44:A5:6E:41:9B:BC,5.765 GHz,153
MD501,04:8D:38:04:4E:86,2.412 GHz,1
LCH_rtt_5G,00:11:32:B6:7A:26,5.22 GHz,44
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
ntu_peap,00:0B:86:96:61:C1,2.412 GHz,1
AUO_431_5G,C0:C9:E3:4B:6C:9E,5.785 GHz,157
ntuiot_402,00:11:32:AD:8E:B7,2.442 GHz,7
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
ntuiot,00:11:32:B6:86:00,2.442 GHz,7
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
Samuel,DA:3B:BF:FC:22:5E,5.18 GHz,36
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
eduroam,00:0B:86:96:61:C0,2.412 GHz,1
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
MakerSpace_5G,40:B0:76:34:03:4C,5.785 GHz,157
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
MD501_f,04:8D:38:04:4E:89,5.805 GHz,161
,16:11:32:B6:86:00,2.442 GHz,7
MD501,04:8D:38:04:4E:86,2.412 GHz,1
\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,AA:C9:E3:4B:6C:91,2.452 GHz,9
esys305,D4:5D:64:E0:9F:88,2.437 GHz,6
MakerSpace_2.4G,40:B0:76:34:03:48,2.432 GHz,5
eduroam,6C:F3:7F:31:FA:21,2.462 GHz,11
eslab-Dlink652,B8:A3:86:57:17:67,2.462 GHz,11
NETGEAR14,44:A5:6E:41:9B:BA,2.422 GHz,3
MD705,04:D9:F5:D9:F4:A0,2.412 GHz,1
ntuiot_402,00:11:32:9D:2B:30,2.432 GHz,5
MD404,8C:3B:AD:22:02:66,2.437 GHz,6
AUO_431_Meeting,90:9A:4A:09:41:63,2.427 GHz,4
nthuang,74:DA:38:10:10:60,2.457 GHz,10
ntu_peap,00:0B:86:96:60:81,2.412 GHz,1
NTU,00:0B:86:96:60:82,2.412 GHz,1
DIRECT-f2-HP M277 LaserJet,4A:E2:44:27:58:F2,2.437 GHz,6
MD402_asus,0C:9D:92:02:8B:20,2.462 GHz,11
DIRECT-90-HP M479dw Color LJ,86:2A:FD:78:C5:90,2.437 GHz,6
MD501-TimLin,DC:FB:02:61:9E:31,2.462 GHz,11
ntuiot,0C:9D:92:02:8B:40,2.427 GHz,4
AUO_NTU,64:70:02:61:A9:EC,2.437 GHz,6
MD704,0C:9D:92:54:AB:50,2.447 GHz,8
